marca|modelo|precio_lista|precio_con_bono|valor_bono|fecha|linea
imoto|TM RACING EN 250 FI K48 ES|7615000|||2018_03_16|TM-Racing
imoto|TM RACING EN250 FI 4T - 2013|3350000|||2018_03_16|TM-Racing
imoto|TM RACING EN250 FI 4T - 2016|5400000|||2018_03_16|TM-Racing
imoto|TM RACING EN250-2015|6230000|5340000||2018_03_16|TM-Racing
imoto|TM RACING EN250K48-2017 (2T)|6120000|||2018_03_16|TM-Racing
imoto|TM RACING EN450 FI 4T-2016|4900000|||2018_03_16|TM-Racing
imoto|TM RACING EN450FI-2015|7350000|4500000||2018_03_16|TM-Racing
imoto|TM RACING ENDURO-450-2013|4900000|3400000||2018_03_16|TM-Racing
imoto|TM RACING ENDURO-450-2013|4900000|3500000||2018_03_16|TM-Racing
imoto|TM RACING ENDURO-450-2014|5560000|3800000||2018_03_16|TM-Racing
imoto|TM RACING MX250 FI 4T - 2016|4900000|||2018_03_16|TM-Racing
imoto|TM RACING MX250FI 4 T 2015|4400000|||2018_03_16|TM-Racing
imoto|TM RACING EN 250 FI K48 ES|7615000|||2018_04_01|TM-Racing
imoto|TM RACING EN250 FI 4T - 2013|3350000|||2018_04_01|TM-Racing
imoto|TM RACING EN250 FI 4T - 2016|5400000|||2018_04_01|TM-Racing
imoto|TM RACING EN250-2015|6230000|5340000||2018_04_01|TM-Racing
imoto|TM RACING EN250K48-2017 (2T)|6120000|||2018_04_01|TM-Racing
imoto|TM RACING EN450 FI 4T-2016|4900000|||2018_04_01|TM-Racing
imoto|TM RACING EN450FI-2015|7350000|4500000||2018_04_01|TM-Racing
imoto|TM RACING ENDURO-450-2013|4900000|3400000||2018_04_01|TM-Racing
imoto|TM RACING ENDURO-450-2013|4900000|3500000||2018_04_01|TM-Racing
imoto|TM RACING ENDURO-450-2014|5560000|3800000||2018_04_01|TM-Racing
imoto|TM RACING MX250 FI 4T - 2016|4900000|||2018_04_01|TM-Racing
imoto|TM RACING MX250FI 4 T 2015|4400000|||2018_04_01|TM-Racing
imoto|TM RACING EN 250 FI K48 ES|7615000|||2018_04_17|TM-Racing
imoto|TM RACING EN250 FI 4T - 2013|3350000|||2018_04_17|TM-Racing
imoto|TM RACING EN250 FI 4T - 2016|5400000|||2018_04_17|TM-Racing
imoto|TM RACING EN250-2015|6230000|5340000||2018_04_17|TM-Racing
imoto|TM RACING EN250K48-2017 (2T)|6120000|||2018_04_17|TM-Racing
imoto|TM RACING EN300FIK48-2017|6690000|||2018_04_17|TM-Racing
imoto|TM RACING EN450 FI 4T-2016|4900000|||2018_04_17|TM-Racing
imoto|TM RACING EN450FI-2015|7350000|4500000||2018_04_17|TM-Racing
imoto|TM RACING EN450k48-2017|7130000|||2018_04_17|TM-Racing
imoto|TM RACING ENDURO-450-2013|4900000|3400000||2018_04_17|TM-Racing
imoto|TM RACING ENDURO-450-2013|4900000|3500000||2018_04_17|TM-Racing
imoto|TM RACING ENDURO-450-2014|5560000|3800000||2018_04_17|TM-Racing
imoto|TM RACING EN 250 FI K48 ES|7615000|||2018_04_23|TM-Racing
imoto|TM RACING EN250 FI 4T - 2013|3350000|||2018_04_23|TM-Racing
imoto|TM RACING EN250 FI 4T - 2016|5400000|||2018_04_23|TM-Racing
imoto|TM RACING EN250-2015|6230000|5340000||2018_04_23|TM-Racing
imoto|TM RACING EN250K48-2017 (2T)|6120000|||2018_04_23|TM-Racing
imoto|TM RACING EN300FIK48-2017|6690000|||2018_04_23|TM-Racing
imoto|TM RACING EN450 FI 4T-2016|4900000|||2018_04_23|TM-Racing
imoto|TM RACING EN450FI-2015|7350000|4500000||2018_04_23|TM-Racing
imoto|TM RACING EN450k48-2017|7130000|||2018_04_23|TM-Racing
imoto|TM RACING ENDURO-450-2013|4900000|3400000||2018_04_23|TM-Racing
imoto|TM RACING ENDURO-450-2013|4900000|3500000||2018_04_23|TM-Racing
imoto|TM RACING ENDURO-450-2014|5560000|3800000||2018_04_23|TM-Racing
imoto|TM RACING MX300-2015|6030000|||2018_04_01|TM-Racing
imoto|TM RACING MX450 FI 4T - 2014|3700000|||2018_04_01|TM-Racing
imoto|TM RACING MX450 FI 4T-2016|4600000|||2018_04_01|TM-Racing
imoto|TM RACING MX450FI-2014|5680000|4000000||2018_04_01|TM-Racing
imoto|TM RACING MX85-2018|4715000|||2018_04_01|TM-Racing
imoto|TM RACING SMX450FI-2014|6290000|5900000||2018_04_01|TM-Racing
imoto|TM RACING MX250 FI 4T - 2016|4900000|||2018_04_17|TM-Racing
imoto|TM RACING MX250FI 4 T 2015|4400000|||2018_04_17|TM-Racing
imoto|TM RACING MX300-2015|6030000|||2018_04_17|TM-Racing
imoto|TM RACING MX450 FI 4T - 2014|3700000|||2018_04_17|TM-Racing
imoto|TM RACING MX450 FI 4T-2016|4600000|||2018_04_17|TM-Racing
imoto|TM RACING MX450FI-2014|5680000|4000000||2018_04_17|TM-Racing
imoto|TM RACING MX85-2018|4650000|||2018_04_17|TM-Racing
imoto|TM RACING SMX450FI-2014|6290000|5900000||2018_04_17|TM-Racing
imoto|TM RACING TM Racing EN125K48-2018|6200000|||2018_04_17|TM-Racing
imoto|TM RACING TM RACING EN300K48-2018|6650000|||2018_04_17|TM-Racing
imoto|TM RACING MX250 FI 4T - 2016|4900000|||2018_04_23|TM-Racing
imoto|TM RACING MX250FI 4 T 2015|4400000|||2018_04_23|TM-Racing
imoto|TM RACING MX300-2015|6030000|||2018_04_23|TM-Racing
imoto|TM RACING MX450 FI 4T - 2014|3700000|||2018_04_23|TM-Racing
imoto|TM RACING MX450 FI 4T-2016|4600000|||2018_04_23|TM-Racing
imoto|TM RACING MX450FI-2014|5680000|4000000||2018_04_23|TM-Racing
imoto|TM RACING MX85-2018|4650000|||2018_04_23|TM-Racing
imoto|TM RACING SMX450FI-2014|6290000|5900000||2018_04_23|TM-Racing
imoto|TM RACING TM Racing EN125K48-2018|6200000|||2018_04_23|TM-Racing
imoto|TM RACING TM RACING EN300K48-2018|6650000|||2018_04_23|TM-Racing
imoto|TAKASAKI CK150S-3H|1190000|||2018_03_16|ATV
imoto|TAKASAKI CK250S-11 ATV|1560000|||2018_03_16|ATV
imoto|TAKASAKI CK300AS-8|1990000|||2018_03_16|ATV
imoto|TAKASAKI CK50S-7|570000|||2018_03_16|ATV
imoto|TAKASAKI FA-A70ATV|590000|||2018_03_16|ATV
imoto|TAKASAKI FA-H300 ATV (4x4)|2990000|||2018_03_16|ATV
imoto|LONCIN LX150ATV-3A|1290000|||2018_03_16|ATV
imoto|LONCIN LX200ATV-U|1990000|||2018_03_16|ATV
imoto|LONCIN LX700ATV-2|5290000|||2018_03_16|ATV
imoto|LONCIN LX70ATV|760000|||2018_03_16|ATV
imoto|TAKASAKI TK110-9ATV|590000|||2018_03_16|ATV
imoto|TAKASAKI CK150S-3H|1190000|||2018_04_01|ATV
imoto|TAKASAKI CK250S-11 ATV|1560000|||2018_04_01|ATV
imoto|TAKASAKI CK300AS-8|1990000|||2018_04_01|ATV
imoto|TAKASAKI CK50S-7|570000|||2018_04_01|ATV
imoto|TAKASAKI FA-A70ATV|590000|||2018_04_01|ATV
imoto|TAKASAKI FA-H300 ATV (4x4)|2990000|||2018_04_01|ATV
imoto|LONCIN LX150ATV-3A|1290000|||2018_04_01|ATV
imoto|LONCIN LX200ATV-U|1990000|||2018_04_01|ATV
imoto|LONCIN LX700ATV-2|5290000|||2018_04_01|ATV
imoto|LONCIN LX70ATV|760000|||2018_04_01|ATV
imoto|TAKASAKI TK110-9ATV|590000|||2018_04_01|ATV
imoto|TAKASAKI CK150S-3H|1190000|||2018_04_17|ATV
imoto|TAKASAKI CK250S-11 ATV|1560000|||2018_04_17|ATV
imoto|TAKASAKI CK300AS-8|1990000|||2018_04_17|ATV
imoto|TAKASAKI CK50S-7|570000|||2018_04_17|ATV
imoto|TAKASAKI FA-A70ATV|590000|||2018_04_17|ATV
imoto|TAKASAKI FA-H300 ATV (4x4)|2990000|||2018_04_17|ATV
imoto|LONCIN LX150ATV-3A|1290000|||2018_04_17|ATV
imoto|LONCIN LX200ATV-U|1990000|||2018_04_17|ATV
imoto|LONCIN LX700ATV-2|5290000|||2018_04_17|ATV
imoto|LONCIN LX70ATV|760000|||2018_04_17|ATV
imoto|TAKASAKI TK110-9ATV|590000|||2018_04_17|ATV
imoto|TAKASAKI CK150S-3H|1190000|||2018_04_23|ATV
imoto|TAKASAKI CK250S-11 ATV|1560000|||2018_04_23|ATV
imoto|TAKASAKI CK300AS-8|1990000|||2018_04_23|ATV
imoto|TAKASAKI CK50S-7|570000|||2018_04_23|ATV
imoto|TAKASAKI FA-A70ATV|590000|||2018_04_23|ATV
imoto|TAKASAKI FA-H300 ATV (4x4)|2990000|||2018_04_23|ATV
imoto|LONCIN LX150ATV-3A|1290000|||2018_04_23|ATV
imoto|LONCIN LX200ATV-U|1990000|||2018_04_23|ATV
imoto|LONCIN LX700ATV-2|5290000|||2018_04_23|ATV
imoto|LONCIN LX70ATV|760000|||2018_04_23|ATV
imoto|TAKASAKI TK110-9ATV|590000|||2018_04_23|ATV
imoto|LONCIN CRS / LX200-68A|1190000|||2018_03_16|Calle
imoto|LONCIN GN3-150|890000|||2018_03_16|Calle
imoto|LONCIN LX125-76|790000|||2018_03_16|Calle
imoto|LONCIN LX150-59B|990000|||2018_03_16|Calle
imoto|LONCIN SEVEN 250 / lx250gy-6|1290000|||2018_03_16|Calle
imoto|LONCIN CRS / LX200-68A|1190000|||2018_04_01|Calle
imoto|LONCIN GN3-150|890000|||2018_04_01|Calle
imoto|LONCIN LX125-76|790000|||2018_04_01|Calle
imoto|LONCIN LX150-59B|990000|||2018_04_01|Calle
imoto|LONCIN SEVEN 250 / lx250gy-6|1290000|||2018_04_01|Calle
imoto|LONCIN CRS / LX200-68A|1190000|||2018_04_17|Calle
imoto|LONCIN GN3-150|890000|||2018_04_17|Calle
imoto|LONCIN LX125-76|790000|||2018_04_17|Calle
imoto|LONCIN LX150-59B|990000|||2018_04_17|Calle
imoto|LONCIN SEVEN 250 / lx250gy-6|1290000|||2018_04_17|Calle
imoto|LONCIN CRS / LX200-68A|1190000|||2018_04_23|Calle
imoto|LONCIN GN3-150|890000|||2018_04_23|Calle
imoto|LONCIN LX125-76|790000|||2018_04_23|Calle
imoto|LONCIN LX150-59B|990000|||2018_04_23|Calle
imoto|LONCIN SEVEN 250 / lx250gy-6|1290000|||2018_04_23|Calle
imoto|KINLON JL150T-14B|890000|||2018_03_16|Scooter
imoto|KINLON JL150T-7VII|990000|||2018_03_16|Scooter
imoto|TAKASAKI TK125T-2|750000|||2018_03_16|Scooter
imoto|TAKASAKI TK150T-11|890000|||2018_03_16|Scooter
imoto|LONCIN Vitalia 125|990000|||2018_03_16|Scooter
imoto|KINLON JL150T-14B|890000|||2018_04_01|Scooter
imoto|KINLON JL150T-7VII|990000|||2018_04_01|Scooter
imoto|TAKASAKI TK125T-2|750000|||2018_04_01|Scooter
imoto|TAKASAKI TK150T-11|890000|||2018_04_01|Scooter
imoto|LONCIN Vitalia 125|990000|||2018_04_01|Scooter
imoto|KINLON JL150T-14B|890000|||2018_04_17|Scooter
imoto|KINLON JL150T-7VII|990000|||2018_04_17|Scooter
imoto|TAKASAKI TK125T-2|750000|||2018_04_17|Scooter
imoto|TAKASAKI TK150T-11|890000|||2018_04_17|Scooter
imoto|LONCIN Vitalia 125|990000|||2018_04_17|Scooter
imoto|KINLON JL150T-14B|890000|||2018_04_23|Scooter
imoto|KINLON JL150T-7VII|990000|||2018_04_23|Scooter
imoto|TAKASAKI TK125T-2|750000|||2018_04_23|Scooter
imoto|TAKASAKI TK150T-11|890000|||2018_04_23|Scooter
imoto|LONCIN Vitalia 125|990000|||2018_04_23|Scooter
imoto|TAKASAKI XT250TM|1490000|||2018_03_16|Cross
imoto|TAKASAKI XT250TM-4V|1990000|||2018_03_16|Cross
imoto|TAKASAKI XT50|550000|||2018_03_16|Cross
imoto|TAKASAKI XTR 125S|890000|||2018_03_16|Cross
imoto|TAKASAKI YX125|630000|||2018_03_16|Cross
imoto|TAKASAKI YX140|740000|||2018_03_16|Cross
imoto|TAKASAKI XT250TM|1490000|||2018_04_01|Cross
imoto|TAKASAKI XT250TM-4V|1990000|||2018_04_01|Cross
imoto|TAKASAKI XT50|550000|||2018_04_01|Cross
imoto|TAKASAKI XTR 125S|890000|||2018_04_01|Cross
imoto|TAKASAKI YX125|630000|||2018_04_01|Cross
imoto|TAKASAKI YX140|740000|||2018_04_01|Cross
imoto|TAKASAKI XT250TM|1490000|||2018_04_17|Cross
imoto|TAKASAKI XT250TM-4V|1990000|||2018_04_17|Cross
imoto|TAKASAKI XT50|550000|||2018_04_17|Cross
